student_id,lms_logins_per_week,attendance_rate,avg_submission_delay_days,gpa_trend,sleep_irregularity_score,social_activity_drop,sentiment_score,weekend_activity_ratio,burnout_score,burnout_level,dropout_probability
STU0001,8.62,0.651,5.63,-0.811,0.4,0.404,0.484,0.772,60.5,Medium,0.453
STU0002,7.0,0.936,1.56,-0.189,0.443,0.161,0.719,0.489,45.2,Medium,0.24
STU0003,8.66,0.899,4.09,-0.146,0.312,0.094,0.685,0.442,52.5,Medium,0.414
STU0004,4.4,0.375,0.54,0.19,0.407,0.292,0.794,0.641,52.7,Medium,0.412
STU0005,12.64,0.961,2.28,0.007,0.522,0.029,0.416,0.589,33.5,Medium,0.142
STU0006,3.38,0.817,2.18,-0.422,0.129,0.309,0.003,0.408,60.5,Medium,0.548
STU0007,10.62,1.0,1.76,-0.295,0.372,0.146,0.402,0.382,31.1,Low,0.045
STU0008,5.16,0.661,5.06,0.06,0.373,0.257,0.55,0.261,66.5,High,0.555
STU0009,6.06,0.588,0.75,-0.024,0.549,0.236,0.359,0.677,54.5,Medium,0.407
STU0010,10.09,0.839,0.21,-0.174,0.552,0.256,0.795,0.423,30.2,Low,0.045
STU0011,11.86,0.642,1.67,-0.144,0.187,0.208,0.55,0.521,34.0,Medium,0.25
STU0012,2.75,0.736,1.96,0.209,0.052,0.277,0.601,0.117,53.7,Medium,0.353
STU0013,8.36,0.682,1.28,-0.155,0.301,0.475,0.791,0.597,47.1,Medium,0.309
STU0014,7.53,0.697,0.35,-0.026,0.42,0.061,0.47,0.469,39.7,Medium,0.291
STU0015,3.49,0.774,1.05,0.651,0.634,0.392,0.737,0.104,57.1,Medium,0.496
STU0016,8.89,0.656,0.56,-0.427,0.104,0.009,0.605,0.562,33.2,Medium,0.109
STU0017,3.72,1.0,0.84,-0.556,0.051,0.226,0.862,0.373,35.6,Medium,0.229
STU0018,7.22,1.0,1.55,0.235,0.131,0.33,0.567,0.44,34.5,Medium,0.195
STU0019,5.34,0.832,2.05,-0.204,0.046,0.119,0.5,0.22,44.4,Medium,0.421
STU0020,6.13,0.405,0.4,-0.095,0.396,0.168,0.837,0.434,49.5,Medium,0.388
STU0021,5.86,0.929,0.78,-0.234,0.35,0.422,0.64,0.065,38.4,Medium,0.223
STU0022,9.7,0.655,0.47,-0.078,0.446,0.456,0.209,0.15,50.1,Medium,0.333
STU0023,3.64,0.987,0.33,0.48,0.133,0.131,0.936,0.716,35.5,Medium,0.157
STU0024,8.07,0.633,2.29,0.241,0.509,0.056,0.572,0.314,49.3,Medium,0.325
STU0025,5.49,0.591,3.6,0.259,0.16,0.14,0.623,0.28,59.5,Medium,0.563
STU0026,6.01,0.74,0.69,-0.425,0.369,0.339,0.599,0.486,47.7,Medium,0.347
STU0027,8.35,0.637,2.09,-0.345,0.802,0.251,0.335,0.486,59.3,Medium,0.519
STU0028,4.98,0.731,3.41,-0.852,0.142,0.194,0.569,0.43,58.0,Medium,0.551
STU0029,5.84,0.626,2.81,-0.243,0.174,0.109,0.59,0.836,53.9,Medium,0.306
STU0030,7.09,0.833,0.3,0.287,0.13,0.122,0.267,0.464,31.2,Low,0.204
STU0031,3.71,0.756,4.7,0.155,0.19,0.328,0.31,0.325,73.0,High,0.665
STU0032,5.53,0.434,0.71,-0.066,0.177,0.207,0.571,0.056,46.5,Medium,0.353
STU0033,7.88,0.882,0.62,-0.007,0.201,0.22,0.802,0.197,32.7,Low,0.117
STU0034,1.62,0.578,0.1,-0.207,0.246,0.3,0.212,0.397,57.1,Medium,0.426
STU0035,2.7,0.515,1.0,0.061,0.419,0.274,0.594,0.085,60.5,Medium,0.531
STU0036,5.69,0.663,0.17,0.23,0.563,0.037,0.784,0.501,47.3,Medium,0.461
STU0037,7.85,0.731,0.43,-0.485,0.387,0.154,0.157,0.116,45.5,Medium,0.369
STU0038,12.7,0.343,0.57,0.09,0.284,0.447,0.906,0.316,32.4,Low,0.218
STU0039,5.58,1.0,2.48,0.28,0.026,0.252,0.7,0.416,37.1,Medium,0.204
STU0040,2.38,0.547,3.13,-0.125,0.777,0.466,0.185,0.772,85.0,High,0.783
STU0041,1.95,0.766,0.54,0.21,0.331,0.127,0.568,0.91,51.8,Medium,0.358
STU0042,5.56,0.704,2.94,0.844,0.332,0.501,0.318,0.619,65.5,Medium,0.544
STU0043,11.87,0.959,2.92,-0.031,0.635,0.161,0.336,0.26,41.8,Medium,0.17
STU0044,2.08,0.798,2.17,0.118,0.212,0.425,0.49,0.458,57.0,Medium,0.426
STU0045,5.76,0.846,0.24,-0.221,0.294,0.379,0.1,0.261,47.6,Medium,0.316
STU0046,7.55,0.236,1.76,0.054,0.511,0.227,0.119,0.286,67.8,High,0.589
STU0047,4.48,0.401,4.35,0.138,0.578,0.012,0.382,0.307,86.2,High,0.835
STU0048,9.75,0.87,1.72,0.058,0.298,0.591,0.554,0.22,41.6,Medium,0.288
STU0049,9.76,0.798,0.6,-0.306,0.338,0.358,0.573,0.49,40.5,Medium,0.255
